ew,he1,he2,wm,om,nl
71.5,170.0,169.0,124.0,0.0,53.5
70.5,150.0,170.0,126.0,3.0,72.0
74.0,141.0,149.5,151.0,-5.0,64.5
73.5,138.5,168.0,140.0,1.0,56.5
89.5,180.0,189.0,164.0,-1.0,65.5
86.5,166.0,181.0,183.0,2.0,75.0
85.0,159.0,177.5,162.0,3.0,69.5
80.0,172.0,181.0,153.0,-7.0,64.5
77.5,152.0,175.0,174.0,5.0,54.5
79.0,157.0,163.5,178.0,3.0,53.5
78.0,126.5,148.5,152.0,3.0,77.5
78.0,163.5,178.5,154.0,2.0,65.5
84.0,159.0,179.0,159.0,1.0,69.0
77.0,171.5,164.5,173.0,0.0,45.0
71.5,151.5,172.5,154.0,-3.0,48.0
73.0,152.5,172.0,130.0,3.0,54.5
79.5,148.5,170.5,158.0,-2.0,59.0
79.0,151.5,175.5,111.0,-21.0,101.5
84.0,167.0,178.0,190.0,-2.0,67.5
73.0,167.0,178.5,133.0,1.0,58.5
71.5,155.0,173.5,133.0,4.0,55.0
79.5,162.0,172.5,153.0,-11.0,43.5
77.0,169.5,164.5,176.0,1.0,43.5
76.0,126.0,150.5,152.0,2.0,75.0
71.0,153.5,175.5,148.0,-1.0,55.0
74.0,153.5,157.0,137.0,10.0,60.0
82.0,158.0,181.5,135.0,-3.0,72.0
83.0,192.0,200.5,156.0,4.0,66.0
77.0,159.5,171.5,121.0,6.0,70.5
78.5,157.0,177.0,173.0,7.0,54.5
90.0,185.0,187.5,160.0,5.0,64.0
79.5,158.0,163.5,173.0,2.0,54.5
83.5,176.5,184.0,153.0,-6.0,63.5
85.0,176.0,182.0,156.0,-1.0,59.5
77.0,158.5,170.0,147.0,-7.0,42.0
71.0,145.0,156.5,128.0,1.0,69.5
75.5,143.5,152.0,158.0,8.0,71.5
83.5,163.0,170.5,155.0,3.0,71.0
75.5,155.5,159.0,138.0,9.0,62.5
78.0,142.5,170.5,159.0,1.0,55.0
75.0,172.0,181.0,138.0,0.0,57.0
78.0,168.5,172.0,153.0,11.0,70.0
71.5,167.5,198.5,132.0,-2.0,59.0
73.0,139.0,168.0,149.0,3.0,56.0
83.5,171.0,177.0,148.0,-2.0,59.0
79.0,161.5,165.0,163.0,0.0,68.0
81.5,174.5,192.5,154.0,-2.0,54.5
79.5,189.0,184.0,152.0,3.0,58.0
99.5,183.0,193.0,186.0,3.0,74.0
78.0,145.0,173.5,162.0,1.0,57.0
74.0,157.5,179.0,158.0,-2.0,45.0
74.5,160.0,154.5,140.0,2.0,61.5
73.0,157.0,177.5,150.0,-2.0,57.0
80.0,165.0,177.5,146.0,-4.0,64.5
80.0,174.5,173.5,156.0,12.0,69.5
71.0,154.0,177.5,146.0,-1.0,63.5
81.0,156.0,178.5,136.0,-1.0,70.0
69.5,162.5,179.0,134.0,6.0,64.0
77.5,147.0,153.0,164.0,6.0,69.5
95.5,180.0,192.0,183.0,-3.0,72.0
73.0,151.5,179.0,146.0,-2.0,63.0
76.5,144.5,173.0,157.0,0.0,58.5
79.0,164.0,168.5,164.0,1.0,69.0
74.5,146.0,158.0,128.0,-1.0,70.5
71.5,162.5,171.5,127.0,-2.0,53.5
75.5,142.0,149.5,153.0,-4.0,66.0
84.5,160.0,178.5,159.0,2.0,71.5
83.0,187.5,200.5,160.0,4.0,65.0
70.5,163.0,175.0,137.0,-2.0,48.0
79.5,160.5,162.0,168.0,-12.0,48.5
77.0,161.0,176.5,155.0,0.0,62.5
71.0,138.0,168.0,150.0,2.0,56.5
73.0,154.0,167.5,132.0,-1.0,56.5
77.5,172.5,167.0,172.0,1.0,45.5
83.5,161.0,170.0,190.0,-3.0,68.0
80.0,152.5,164.0,170.0,-3.0,49.0
73.5,142.5,150.5,150.0,-8.0,64.5
69.5,170.5,170.5,122.0,-1.0,56.5
67.5,144.5,165.0,123.0,2.0,71.5
80.0,168.5,166.5,158.0,0.0,69.0
78.5,161.0,177.0,153.0,0.0,64.0
76.0,167.0,167.0,153.0,0.0,70.5
77.5,186.0,180.0,146.0,4.0,59.5
80.0,187.0,184.0,154.0,3.0,60.5
68.5,149.0,166.5,124.0,5.0,73.5
69.5,165.5,197.5,126.0,1.0,59.0
82.0,169.5,170.0,156.0,0.0,70.5
74.5,153.0,157.5,136.0,10.0,61.0
76.5,148.0,170.0,159.0,1.0,61.5
85.0,171.5,178.5,151.0,-4.0,59.0
85.5,162.5,182.5,185.0,2.0,75.5
72.5,168.5,180.0,135.0,3.0,62.5
81.5,157.0,166.0,152.0,2.0,73.5
78.5,151.5,172.5,136.0,-6.0,70.0
82.5,164.0,172.5,188.0,-6.0,66.0
75.0,156.0,155.5,142.0,3.0,60.0
83.0,183.0,196.0,153.0,5.0,66.5
78.5,160.5,165.5,159.0,1.0,70.0
78.5,156.0,155.0,149.0,10.0,69.5
