ew,he1,he2,wm,om,nl
75.5,171.5,182.5,182.0,0.0,54.0
77.0,171.5,183.0,185.0,0.0,53.0
75.5,173.5,186.0,182.0,-1.0,55.0
76.0,178.0,190.0,154.0,4.0,58.5
75.5,177.0,188.0,150.0,5.0,53.5
76.5,174.5,189.0,153.0,2.0,55.0
85.0,193.5,202.0,172.0,5.0,54.0
86.0,198.0,204.0,172.0,7.0,54.0
83.5,189.5,203.0,172.0,3.0,50.0
75.5,174.0,185.0,168.0,1.0,59.5
77.0,175.0,186.5,172.0,2.0,59.0
77.0,175.5,189.0,173.0,1.0,59.5
86.0,201.5,204.0,203.0,2.0,60.0
86.5,198.0,202.0,200.0,3.0,60.5
88.5,197.0,200.5,202.0,1.0,59.5
69.0,141.5,167.5,168.0,5.0,56.0
70.0,146.0,171.0,170.0,0.0,56.0
72.0,143.0,171.5,173.0,1.0,58.5
77.5,163.0,182.0,168.0,5.0,55.0
76.5,160.5,176.0,165.0,5.0,54.0
76.0,162.5,177.0,166.0,2.0,53.0
74.5,158.0,172.5,168.0,3.0,60.5
73.0,156.5,172.0,170.0,3.0,61.5
74.5,158.0,170.0,173.0,3.0,60.0
78.5,188.0,196.0,174.0,0.0,44.0
77.0,188.0,195.5,173.0,1.0,43.5
77.0,187.0,195.0,179.0,2.0,40.0
73.5,172.0,184.0,183.0,-1.0,50.0
73.0,174.5,184.5,181.0,-2.0,48.0
73.0,173.5,182.0,170.0,1.0,48.5
81.5,183.0,186.5,162.0,1.0,44.0
82.0,184.0,186.0,162.0,0.0,46.5
82.0,186.0,185.5,162.0,1.0,47.0
80.5,172.0,203.0,143.0,2.0,77.5
79.5,164.5,201.0,132.0,1.0,85.0
76.5,165.0,198.0,133.0,-2.0,82.5
80.0,181.0,197.5,166.0,1.0,65.0
79.5,184.5,203.5,168.0,1.0,62.5
79.0,181.5,197.0,170.0,-1.0,62.0
79.5,170.5,181.0,178.0,0.0,52.0
82.0,172.0,181.5,183.0,1.0,51.0
78.5,170.0,178.0,177.0,0.0,51.5
84.5,181.0,210.0,200.0,1.0,74.5
84.5,181.5,209.0,196.0,1.0,74.0
83.5,182.0,209.0,195.0,0.0,70.0
82.5,184.0,189.0,169.0,0.0,60.0
78.5,181.5,184.0,170.0,0.0,58.0
79.5,180.0,185.0,167.0,-1.0,62.0
74.5,138.5,169.0,165.0,4.0,69.0
76.5,148.5,174.5,167.0,1.0,65.0
76.5,148.0,175.0,174.0,1.0,64.5
66.5,148.0,175.5,136.0,4.0,68.0
66.5,143.5,174.0,140.0,4.0,68.5
67.0,146.0,173.5,145.0,6.0,69.5
