ew,he1,he2,wm,om,nl
80.0,178.5,178.0,149.0,7.0,53.0
79.0,176.0,174.5,148.0,8.0,51.5
81.5,184.0,178.5,148.0,8.0,51.5
71.5,138.0,156.0,151.0,21.0,67.0
70.5,141.0,155.5,147.0,28.0,65.5
72.5,139.5,156.5,149.0,30.0,67.0
78.0,158.5,165.5,152.0,8.0,68.0
78.5,159.0,165.5,154.0,9.0,67.0
75.5,153.0,165.0,149.0,9.0,64.0
71.0,139.5,143.5,169.0,21.0,71.0
73.0,141.0,144.5,167.0,17.0,69.0
71.5,134.5,140.5,161.0,17.0,68.5
69.5,160.0,156.0,129.0,4.0,43.0
70.0,161.0,158.0,129.0,4.0,41.0
69.0,160.5,158.5,131.0,7.0,42.5
65.5,119.0,132.0,130.0,9.0,72.5
65.0,116.0,132.0,127.0,9.0,68.0
63.5,113.0,131.0,125.0,10.0,68.5
75.5,159.0,170.0,151.0,15.0,48.5
75.5,154.0,168.5,150.0,18.0,49.0
74.0,156.0,165.5,148.0,17.0,47.5
67.5,172.5,169.0,155.0,3.0,55.0
68.5,171.5,168.0,150.0,5.0,59.0
70.0,172.5,167.5,156.0,4.0,55.0
77.5,179.5,188.5,171.0,16.0,52.0
76.0,181.5,189.0,169.0,8.0,54.0
76.0,182.0,187.5,167.0,6.0,54.0
74.5,147.5,160.0,136.0,20.0,72.0
74.0,150.5,158.0,136.0,21.0,70.0
72.0,149.5,154.5,133.0,18.0,68.0
82.0,158.5,159.5,168.0,4.0,63.0
82.0,162.0,159.5,165.0,1.0,62.0
80.0,157.5,157.0,162.0,2.0,62.0
69.5,135.0,159.5,142.0,12.0,63.0
70.0,132.0,157.0,138.0,10.0,64.0
71.5,133.0,156.5,138.0,14.0,63.0
72.5,185.5,179.5,151.0,4.0,34.5
72.5,185.5,181.0,152.0,4.0,33.5
72.5,186.5,180.0,153.0,4.0,33.5
69.0,163.5,163.5,132.0,6.0,44.5
69.5,167.5,167.0,135.0,5.0,44.5
68.5,162.0,165.5,133.0,6.0,45.5
74.5,144.0,159.5,145.0,2.0,61.5
75.0,145.0,162.0,143.0,3.0,59.0
74.5,141.0,158.5,145.0,5.0,64.0
76.5,157.0,161.5,150.0,24.0,65.0
78.5,158.5,163.0,152.0,22.0,62.5
79.5,159.0,162.0,152.0,25.0,64.5
82.0,141.0,165.5,146.0,4.0,71.0
83.5,146.0,169.0,148.0,4.0,70.5
81.5,144.5,165.0,147.0,5.0,70.5
80.0,141.0,150.0,182.0,6.0,43.5
79.0,142.5,152.5,178.0,6.0,45.5
78.5,141.5,152.0,179.0,6.0,45.0
76.5,177.0,171.0,159.0,4.0,60.5
73.5,167.5,166.5,155.0,6.0,64.0
76.5,171.5,171.0,158.0,4.0,62.0
76.5,132.5,146.0,137.0,11.0,77.0
76.0,132.5,147.5,136.0,11.0,76.0
80.0,138.0,147.0,140.0,8.0,76.5
77.5,147.5,152.5,189.0,-3.0,52.0
76.5,143.5,154.0,188.0,-3.0,54.5
79.5,145.5,157.0,194.0,-5.0,55.0
78.5,154.5,183.0,165.0,4.0,59.5
81.5,158.0,189.0,169.0,4.0,58.5
77.5,154.5,178.0,164.0,2.0,56.0
82.0,155.5,172.5,171.0,11.0,63.5
81.0,152.0,172.0,176.0,6.0,61.5
82.5,154.0,169.5,174.0,7.0,59.0
75.5,148.5,155.5,144.0,1.0,57.0
74.5,146.5,152.5,143.0,5.0,54.5
76.5,149.0,159.0,146.0,2.0,55.5
76.0,147.5,164.0,159.0,7.0,72.5
74.0,146.5,160.0,158.0,9.0,73.0
74.5,142.0,151.0,160.0,13.0,77.0
75.0,148.5,150.0,149.0,5.0,54.5
76.5,152.0,156.5,154.0,10.0,54.5
76.0,150.0,154.0,153.0,8.0,54.5
79.0,145.5,170.0,146.0,10.0,66.5
79.5,145.5,169.5,147.0,11.0,66.5
76.0,144.0,167.5,143.0,9.0,64.5
74.5,157.5,161.5,145.0,1.0,45.5
80.0,157.5,160.5,151.0,5.0,43.5
74.5,154.5,157.0,147.0,6.0,42.5
81.0,182.0,181.0,154.0,5.0,57.0
79.0,180.5,180.5,156.0,4.0,57.5
80.0,181.5,181.5,157.0,3.0,55.0
77.0,140.5,160.0,141.0,3.0,55.5
74.5,137.0,159.5,137.0,4.0,51.0
76.0,144.5,160.0,140.0,2.0,55.0
77.0,164.5,168.0,133.0,7.0,53.5
79.0,164.5,169.5,137.0,5.0,53.0
77.5,163.0,166.5,131.0,5.0,51.0
72.0,157.0,158.0,125.0,8.0,52.0
72.5,154.0,156.5,123.0,7.0,49.5
73.0,152.0,154.5,122.0,9.0,49.5
69.0,146.0,160.5,119.0,10.0,56.5
67.5,144.5,159.0,122.0,7.0,57.0
69.0,141.0,159.0,122.0,8.0,59.0
72.0,158.0,153.0,130.0,5.0,56.5
75.0,155.0,153.0,137.0,5.0,54.0
77.5,155.0,151.0,142.0,7.0,56.0
69.5,152.0,146.0,153.0,11.0,39.5
67.5,151.5,148.5,152.0,12.0,36.5
68.5,151.0,147.0,156.0,11.0,38.0
76.5,142.5,147.5,149.0,14.0,70.5
76.0,140.0,143.5,143.0,12.0,67.0
75.0,138.5,137.5,141.0,10.0,65.5
79.5,162.0,160.5,166.0,5.0,51.5
79.0,158.0,156.0,167.0,6.0,50.0
80.5,156.0,160.0,162.0,2.0,52.0
81.5,153.0,165.0,171.0,7.0,66.5
83.0,153.5,165.0,169.0,8.0,66.5
85.0,153.0,164.0,174.0,4.0,64.0
67.5,135.0,151.5,130.0,10.0,68.0
66.0,136.5,153.0,128.0,8.0,66.0
67.0,132.5,150.0,130.0,12.0,68.0
78.0,147.5,171.5,161.0,3.0,62.5
76.0,143.5,167.0,154.0,4.0,58.5
76.5,145.0,168.5,155.0,3.0,60.0
74.5,175.0,173.5,143.0,6.0,54.0
77.5,173.5,171.5,141.0,0.0,51.0
76.0,169.5,170.0,143.0,2.0,49.0
75.0,144.5,148.5,150.0,7.0,62.0
75.0,147.0,152.5,153.0,7.0,60.0
74.5,141.5,152.0,148.0,6.0,57.0
76.0,170.5,169.5,139.0,21.0,62.5
79.5,170.0,168.0,146.0,23.0,61.5
75.5,169.0,166.0,146.0,22.0,61.0
72.0,144.0,168.5,144.0,5.0,59.0
71.0,143.5,167.0,139.0,6.0,56.5
71.5,148.0,173.0,140.0,4.0,55.0
79.5,160.0,169.5,151.0,11.0,59.5
80.5,156.5,170.0,153.0,6.0,61.0
77.5,150.5,164.5,151.0,9.0,57.5
75.5,169.0,163.0,144.0,7.0,52.5
76.5,172.0,161.5,141.0,8.0,51.0
73.5,161.5,159.0,139.0,7.0,52.0
75.5,139.0,157.5,155.0,0.0,56.5
75.5,138.5,158.5,158.0,3.0,56.0
76.0,139.0,161.5,158.0,2.0,56.0
67.0,154.5,160.0,126.0,12.0,51.0
67.5,157.0,158.0,128.0,13.0,50.5
68.0,152.0,157.0,130.0,7.0,54.5
74.5,144.0,146.5,153.0,0.0,54.0
81.0,145.5,151.0,156.0,5.0,56.0
77.5,145.0,152.0,152.0,4.0,55.5
81.5,139.5,162.0,157.0,11.0,66.5
79.5,137.0,159.0,156.0,9.0,62.5
79.5,137.5,159.0,155.0,9.0,62.0
78.0,153.0,172.5,147.0,-1.0,46.0
76.5,153.0,171.0,144.0,0.0,42.5
76.5,143.0,162.0,150.0,7.0,36.5
74.0,152.0,167.0,153.0,5.0,58.5
74.5,156.5,169.5,154.0,10.0,60.5
73.5,152.5,168.0,152.0,10.0,59.0
87.5,165.0,176.5,183.0,3.0,62.0
82.0,163.0,175.0,170.0,2.0,61.5
84.0,164.0,172.0,173.0,2.0,59.5
73.0,186.5,178.5,133.0,9.0,56.0
72.5,184.0,179.0,128.0,13.0,53.0
72.5,180.5,179.0,131.0,9.0,54.5
73.0,161.5,171.5,147.0,5.0,45.0
74.5,160.5,170.0,148.0,4.0,42.5
74.0,154.5,169.0,148.0,10.0,43.5
74.0,154.5,157.5,134.0,8.0,59.5
74.0,149.0,157.0,134.0,10.0,59.5
75.0,148.5,156.5,136.0,8.0,60.0
77.5,157.0,170.0,165.0,4.0,40.5
76.0,157.0,166.5,163.0,8.0,40.5
75.5,160.0,168.5,161.0,9.0,40.5
74.0,139.5,148.0,148.0,4.0,71.5
73.5,139.0,148.5,154.0,4.0,71.5
77.0,142.0,147.5,158.0,8.0,73.0
77.0,162.5,177.0,168.0,28.0,55.0
76.5,162.0,174.5,172.0,26.0,52.5
76.5,161.0,170.5,168.0,25.0,49.5
