ew,he1,he2,wm,om,nl
71.5,154.5,184.5,171.0,17.0,66.0
69.0,148.5,179.5,169.0,15.0,63.0
71.5,153.0,185.5,171.0,17.0,66.5
73.5,142.5,156.0,189.0,35.0,70.5
70.5,137.5,152.0,186.0,34.0,69.5
75.5,150.5,163.5,195.0,30.0,73.0
75.5,177.0,196.5,188.0,4.0,63.5
75.5,179.5,195.5,193.0,14.0,61.5
72.5,173.5,187.5,190.0,17.0,61.5
73.5,141.5,181.0,173.0,27.0,71.5
75.0,145.0,183.5,177.0,27.0,73.5
73.5,140.5,180.0,174.0,30.0,74.5
82.0,173.0,184.5,202.0,20.0,72.0
80.5,175.0,188.0,207.0,15.0,71.0
81.0,175.5,187.5,200.0,17.0,71.0
71.5,145.5,172.5,165.0,9.0,63.0
73.5,146.5,176.0,172.0,22.0,63.0
71.5,151.5,180.0,182.0,24.0,57.0
77.0,164.0,174.0,205.0,27.0,49.5
76.5,158.0,170.0,200.0,24.0,48.0
75.0,165.0,173.5,212.0,28.0,49.0
76.0,154.0,171.5,163.0,27.0,63.5
75.0,153.0,167.0,160.0,25.0,63.5
73.0,153.5,171.0,160.0,23.0,62.5
76.0,177.5,191.0,162.0,20.0,81.5
79.0,177.0,191.5,161.0,19.0,83.0
79.5,174.5,188.5,163.0,20.0,83.0
75.0,150.0,166.0,176.0,21.0,73.0
73.5,148.5,166.5,177.0,22.0,70.0
74.0,144.5,167.5,180.0,19.0,67.0
76.5,170.0,180.5,153.0,21.0,67.5
78.5,175.0,190.5,159.0,22.0,71.5
75.5,169.0,185.0,155.0,25.0,68.0
76.0,159.0,189.5,200.0,7.0,54.5
74.0,152.5,186.5,199.0,11.0,57.5
70.0,152.0,184.5,189.0,9.0,55.0
80.0,168.5,196.5,188.0,23.0,75.5
78.5,166.0,197.5,186.0,16.0,72.5
79.0,168.5,198.0,181.0,16.0,75.0
76.0,159.0,188.0,181.0,35.0,58.5
76.5,162.0,189.5,180.0,41.0,59.0
76.5,161.5,191.0,180.0,39.0,59.0
71.5,159.5,178.5,163.0,24.0,59.0
71.5,152.5,172.0,158.0,22.0,57.0
70.5,152.5,177.0,158.0,23.0,58.5
74.5,144.0,185.5,168.0,27.0,86.0
75.0,145.5,188.5,168.0,20.0,86.5
74.5,146.0,188.5,167.0,25.0,86.0
70.5,142.5,189.5,160.0,16.0,72.0
68.5,138.5,185.0,162.0,8.0,69.5
69.5,144.0,188.0,165.0,15.0,66.0
82.0,161.0,196.5,201.0,12.0,55.5
78.0,163.0,190.5,203.0,14.0,53.0
78.5,159.0,192.0,206.0,14.0,52.5
71.0,145.5,176.5,195.0,25.0,59.0
71.5,147.5,177.5,198.0,28.0,58.5
76.5,149.5,180.5,203.0,30.0,62.0
77.0,152.0,184.0,185.0,32.0,68.5
78.5,150.5,185.0,180.0,34.0,69.0
75.5,150.0,181.0,181.0,32.0,67.5
86.0,164.0,200.0,189.0,11.0,64.5
87.5,165.0,202.0,189.0,13.0,63.5
88.0,166.5,203.5,189.0,16.0,63.0
68.0,157.0,193.5,164.0,14.0,67.5
71.0,163.5,195.0,164.0,12.0,69.5
73.5,167.0,200.0,164.0,16.0,70.5
80.0,179.5,212.0,157.0,9.0,81.5
80.0,178.0,211.0,158.0,12.0,84.0
81.0,183.0,212.0,161.0,10.0,84.5
75.0,149.5,190.0,191.0,14.0,77.5
74.5,152.0,190.0,188.0,13.0,80.5
72.5,150.0,191.0,185.0,5.0,76.5
82.5,167.0,187.0,199.0,13.0,66.0
82.5,168.0,192.0,202.0,13.0,66.5
82.5,167.0,190.0,198.0,10.0,65.5
