ew,he1,he2,wm,om,nl
79.5,182.0,191.5,213.0,31.0,22.0
75.5,172.5,196.0,188.0,34.0,27.5
76.0,166.0,173.0,193.0,23.0,48.0
73.0,157.0,165.0,180.0,18.0,41.5
75.0,147.5,173.5,204.0,39.0,48.5
82.5,157.0,185.0,228.0,35.0,34.0
70.0,167.5,177.0,181.0,35.0,30.0
76.5,160.5,172.5,209.0,26.0,33.0
74.5,145.5,163.5,210.0,36.0,50.5
78.0,153.5,181.5,214.0,42.0,33.0
69.5,149.0,174.0,168.0,33.0,51.0
70.5,179.5,174.5,189.0,25.0,26.5
75.5,162.0,176.0,219.0,27.0,45.0
77.0,160.5,183.0,215.0,36.0,43.5
65.5,158.5,165.5,174.0,21.0,28.5
69.0,178.5,176.0,192.0,20.0,27.0
78.0,147.5,174.5,211.0,38.0,45.5
75.5,143.0,162.5,208.0,34.0,50.5
75.5,160.0,179.0,222.0,30.0,26.0
78.0,168.0,176.5,204.0,33.0,25.5
69.5,154.5,179.0,184.0,20.0,32.5
69.5,152.5,174.5,185.0,17.0,30.5
81.0,168.0,172.0,215.0,30.0,33.5
72.0,189.5,195.5,193.0,28.0,28.0
80.0,153.0,181.5,213.0,24.0,38.5
71.0,178.5,187.5,190.0,23.0,27.5
76.5,151.0,186.0,201.0,30.0,42.5
67.5,184.0,191.0,183.0,23.0,27.0
72.0,178.0,178.0,194.0,30.0,25.0
81.5,182.0,194.0,206.0,40.0,28.0
71.5,144.5,157.5,193.0,35.0,37.0
75.5,150.5,176.0,198.0,30.0,50.5
76.0,156.0,169.5,237.0,30.0,27.0
73.5,148.0,174.0,203.0,38.0,41.5
76.5,178.0,189.5,213.0,30.0,21.5
82.5,161.0,173.5,231.0,35.0,35.0
77.5,166.0,172.5,196.0,42.0,29.5
70.5,169.5,175.0,184.0,35.0,37.0
66.0,160.5,167.0,175.0,25.0,28.5
75.0,152.5,168.0,187.0,21.0,34.0
76.0,169.5,185.5,202.0,39.0,34.0
66.5,151.0,163.5,207.0,37.0,28.5
78.5,167.5,180.0,217.0,34.0,33.5
72.0,157.5,165.0,214.0,26.0,39.5
75.0,154.5,163.5,202.0,38.0,40.5
75.0,149.0,169.5,184.0,25.0,33.0
83.5,175.0,185.5,197.0,7.0,49.5
76.0,150.5,176.5,204.0,32.0,49.5
80.0,175.0,179.0,207.0,33.0,26.0
69.5,157.5,175.5,194.0,31.0,25.0
66.0,158.5,165.5,170.0,31.0,30.5
81.0,166.5,168.5,216.0,28.0,37.0
86.0,157.5,187.5,231.0,38.0,38.5
72.5,145.5,171.5,199.0,37.0,40.5
80.0,158.0,167.0,203.0,37.0,40.0
71.5,153.5,162.5,206.0,26.0,35.0
72.0,178.0,189.5,188.0,23.0,28.5
75.5,156.0,163.5,199.0,36.0,39.0
72.5,136.5,171.5,203.0,42.0,40.0
