ew,he1,he2,wm,om,nl
73.5,159.0,186.5,149.0,-2.0,60.0
73.0,183.5,192.0,146.0,12.0,48.0
86.5,179.0,203.0,156.0,-2.0,69.0
86.5,169.0,201.0,176.0,-1.0,68.0
72.5,182.5,195.0,143.0,-3.0,48.5
84.0,167.0,193.0,140.0,-10.0,71.0
81.5,168.0,177.5,176.0,-5.0,65.5
76.5,137.0,187.5,155.0,1.0,81.5
81.0,174.0,182.0,156.0,-1.0,69.5
81.5,167.5,195.5,142.0,-5.0,67.0
75.0,136.5,186.0,153.0,-5.0,81.5
75.0,166.0,186.0,140.0,5.0,69.0
77.5,153.0,169.5,153.0,-5.0,67.5
78.5,170.5,193.5,151.0,-2.0,76.0
89.0,170.5,202.0,187.0,0.0,70.0
66.5,167.0,173.0,130.0,0.0,54.5
68.0,167.5,172.5,134.0,-3.0,54.5
69.0,180.0,200.5,150.0,4.0,68.5
70.5,151.0,176.5,126.0,3.0,69.0
72.0,157.0,184.0,148.0,-3.0,63.0
69.5,177.5,198.0,148.0,1.0,67.0
72.5,136.5,183.5,143.0,-1.0,81.5
78.0,156.0,171.0,155.0,-6.0,66.5
71.0,167.5,187.0,135.0,-1.0,61.5
85.0,179.0,188.5,168.0,-1.0,71.5
68.5,169.5,173.0,131.0,2.0,55.0
81.0,169.5,200.5,153.0,-10.0,67.5
69.5,153.0,176.5,126.0,3.0,69.5
77.0,168.0,192.0,142.0,-4.0,73.0
82.0,181.0,212.0,189.0,0.0,77.5
82.0,147.0,183.0,176.0,0.0,77.5
87.0,179.5,201.5,158.0,-4.0,71.5
65.5,161.0,192.0,101.0,-24.0,77.0
71.5,156.5,184.0,144.0,0.0,61.0
74.5,183.0,195.0,143.0,-2.0,48.5
84.5,163.5,194.5,140.0,-5.0,70.5
75.0,148.0,170.0,153.0,13.0,69.0
72.0,140.0,168.0,111.0,2.0,68.0
73.0,149.0,179.5,115.0,-30.0,92.0
69.0,161.0,198.5,139.0,0.0,65.5
74.5,167.0,187.5,144.0,2.0,69.5
79.5,149.5,186.5,172.0,-1.0,70.0
76.5,135.0,182.5,137.0,6.0,72.5
71.5,182.0,199.5,151.0,6.0,67.5
85.5,176.5,187.5,185.0,-2.0,66.0
84.0,182.5,214.0,188.0,1.0,76.0
68.5,164.0,187.5,136.0,-2.0,61.5
77.5,152.5,167.5,150.0,-5.0,69.5
70.5,144.5,174.0,136.0,5.0,70.5
78.0,138.5,181.0,149.0,12.0,72.5
84.5,175.0,199.0,152.0,-3.0,68.5
77.5,149.5,186.0,171.0,0.0,71.5
69.0,163.0,192.5,114.0,-13.0,71.0
85.5,169.5,184.0,178.0,-5.0,67.5
83.5,180.0,185.0,172.0,-2.0,74.0
80.0,171.0,193.5,146.0,-3.0,78.0
72.0,155.0,180.5,126.0,4.0,57.5
85.0,168.0,203.0,173.0,-6.0,67.0
73.0,166.0,193.5,119.0,-3.0,81.5
83.5,180.5,212.5,184.0,-1.0,79.0
69.0,151.5,175.0,123.0,3.0,68.0
71.0,150.0,170.0,135.0,3.0,70.0
69.0,161.0,189.5,108.0,-15.0,72.0
74.5,152.5,175.5,152.0,7.0,69.0
68.5,162.5,195.0,136.0,-2.0,65.5
79.5,156.5,188.0,133.0,-8.0,80.0
74.5,165.0,188.5,130.0,2.0,77.0
71.0,155.0,180.5,129.0,3.0,56.0
70.5,143.0,169.0,115.0,1.0,64.0
70.5,169.5,188.5,139.0,5.0,61.5
69.5,163.5,197.0,141.0,-2.0,64.5
80.0,160.5,190.5,128.0,-8.0,77.5
81.5,159.0,191.5,132.0,-2.0,82.0
73.5,166.5,191.0,127.0,-1.0,77.0
72.5,152.0,178.5,117.0,-24.0,83.5
73.5,154.5,178.5,129.0,10.0,55.5
82.0,172.0,201.0,148.0,-13.0,66.5
73.5,156.5,182.5,132.0,-22.0,71.5
72.0,140.5,168.0,110.0,4.0,67.5
72.5,145.5,169.0,137.0,13.0,70.0
76.0,138.0,184.5,137.0,21.0,75.5
73.0,163.5,188.0,144.0,1.0,70.0
83.0,175.5,203.0,152.0,-11.0,65.5
72.0,146.0,174.5,129.0,-10.0,69.5
