ew,he1,he2,wm,om,nl
79.0,201.5,210.5,129.0,-8.0,66.0
77.0,206.0,212.5,137.0,-35.0,55.5
78.5,198.5,208.0,125.0,6.0,70.0
76.5,179.0,189.5,119.0,28.0,88.0
75.0,179.5,188.0,116.0,38.0,92.0
74.5,176.5,183.5,118.0,49.0,96.5
75.0,182.0,203.5,138.0,42.0,73.5
77.5,181.5,205.0,140.0,46.0,71.0
76.0,185.5,207.5,140.0,39.0,68.5
79.0,177.5,192.0,137.0,40.0,87.0
77.5,176.5,192.5,137.0,43.0,89.5
78.5,176.0,190.0,138.0,44.0,88.5
79.0,172.0,185.5,120.0,52.0,77.0
76.0,169.0,180.5,118.0,49.0,75.5
79.5,173.0,187.5,120.0,59.0,78.0
79.5,159.5,175.0,151.0,43.0,97.5
79.0,162.5,178.0,156.0,51.0,98.0
81.5,159.0,175.0,149.0,41.0,94.5
62.0,155.5,182.5,117.0,48.0,81.5
61.0,153.5,178.5,113.0,56.0,80.5
61.5,151.0,178.0,118.0,52.0,83.0
71.0,162.0,181.0,113.0,74.0,94.5
71.0,166.0,182.5,114.0,73.0,93.0
68.0,163.5,179.5,109.0,70.0,91.0
74.0,183.5,219.0,153.0,63.0,91.5
73.0,190.5,217.5,144.0,23.0,85.0
69.0,184.5,217.0,144.0,57.0,89.5
81.5,177.0,190.0,149.0,47.0,90.5
82.5,181.5,190.5,148.0,63.0,95.5
81.5,186.0,194.5,141.0,35.0,97.5
66.0,139.0,157.0,112.0,57.0,94.5
68.0,144.0,163.0,119.0,57.0,95.0
66.5,138.5,157.5,112.0,53.0,92.5
64.5,173.0,179.5,137.0,31.0,72.5
63.5,173.0,178.0,129.0,46.0,78.5
68.0,172.5,194.0,136.0,59.0,90.5
74.0,140.5,189.0,105.0,43.0,118.5
73.5,141.0,187.5,108.0,45.0,119.5
74.5,146.0,190.5,110.0,45.0,120.5
79.5,178.5,210.0,164.0,8.0,61.5
80.0,176.5,206.0,166.0,27.0,71.5
71.0,156.5,185.5,117.0,41.0,99.5
70.5,162.0,197.0,118.0,50.0,106.0
